person_name|person_surname|startup_name|role|founding_date|equity_percentage|is_current|exit_date
Raffaele|Messina|HEU|Co-Founder|2022||True|
Marco|Santorelli|HEU|Co-Founder|2022||True|
Stefano|Quinzii|HEU|Co-Founder|2022||True|
Luca|Visconti|HEU|CEO|2022||True|
Nicola|Mei|Hi!Founders|Co-Founder|2021||True|
Simone|Martinelli|Hi!Founders|Managing Director|2021||True|
Giacomo|Barone|hiop|CEO & Co-Founder|2020||True|
Vincenzo|Marino|hiop|CCO & Co-Founder|2020||True|
Enrico|La Sala|hiop|CTO & Co-Founder|2020||True|
Gianluca|Boleto|Hodlie|Co-Founder|2023||True|
Lorenzo|Maffia|Hodlie|Co-Founder & CTO|2023||True|
Gianluca|Sommariva|Hodlie|Co-Founder & CEO|2023||True|
Matteo|Sandrini|HOFU|Founder|2024||True|
Francesco|Falamischia|Home2Car|Co-Founder & CEO|2024||True|
Gabriel|Adams|Home2Car|Co-Founder|2024||True|
Lorenzo|Ghettini|Home2Car|Co-Founder|2024||True|
Giuliano|Golfieri|HoverSpect|Co-Founder & COO|2024||True|
Lorenzo|Rizzello|HoverSpect|Co-Founder & CEO|2024||True|
Marco|Ramilli|IdentifAI - Find Origin|Founder|2024||True|
Simone|Alberto|ilmiobrokerassicurativo|Co-Founder & CTO|2023||True|
Sebastiano|Andreis|ilmiobrokerassicurativo|Co-Founder & CEO|2023||True|
Duccio|Pasquinelli|Il Punto Economico|Co-Founder & Head of Growth|2020||True|
Nicola|Travella|Il Punto Economico|Co-Founder & CEO|2020||True|
Marco|Falcone|indigo.ai|Co-Founder & CTO|2016||True|
Andrea|Tangredi|indigo.ai|Co-Founder & Chief Product Officer|2016||True|
Enrico|Bertino|indigo.ai|Co-Founder & Chief Ai Officer|2016||True|
Gianluca|Maruzzella|indigo.ai|Co-Founder & CEO|2016||True|
Denis|Peroni|indigo.ai|Chief Product Development Officer|2016||True|
Matteo|Papaluca|Inscaler|Founder|2024||True|
Sebastiano|Sicignano|Inspector|CEO|2019||True|
Andrea|Guzzo|Intella|CTO & Founder|2023||True|
Stefano|Moret|j4energy|Co-Founder|2023||True|
Filippo|Lazzarin|j4energy|Co-Founder|2023||True|
Elia|Turatti|j4energy|Co-Founder|2023||True|
Marco|Ogliengo|Jet HR|Founder|2024||True|
Marco|Ogliengo|Jet HR|Founder|2024||True|
Francesco|Scalambrino|Jet HR|Founder|2024||True|
Francesco|Scalambrino|Jet HR|Founder|2024||True|
Martina|Mattone|Joinrs|Co-Founder & CPO|2014||True|
Gabriele|Giugliano|Joinrs|Co-Founder & CEO|2014||True|
Nicolo|Bardi|Joinrs|Co-Founder & CMO|2014||True|
Danilo|Mecozzi|justfolib|CEO|2020||True|
Nicola|Carnevali|JustinShop|Co-Founder & COO|2023||True|
Nicola|Faitelli|JustinShop|Co-Founder & CEO|2023||True|
Alberta|Trombetta|JUSTSOLVE|CEO|2023||True|
Marco|Alba|Kampaay|Co-Founder & CFO|2019||True|
Enrico|Berto|Kampaay|Co-Founder & CPO|2019||True|
Daniele|Arduini|Kampaay|Co-Founder & CEO|2019||True|
Giovanni|Davalli|Keplero AI|Co-Founder|2023||True|
Gabriele|Feudo|Keplero AI|Co-Founder & CEO|2023||True|
Federico|Pedron|Klaaryo|Co-Founder & CEO|2024||True|
Luca|Tamborino Frisari|Klaaryo|Co-Founder & COO|2024||True|
Luigi|Adornetto|Klaaryo|Co-Founder & CTO|2024||True|
Federico|Quarato|Klear|CEO|2024||True|
Giovanni|Feltrin|Kuba Labs|Co-Founder|2023||True|
Alessandro|Paladin|Kuba Labs|Co-Founder|2023||True|
Luca|Mastella|Learnn|Founder & CEO|2019||True|
Dario|Del Gaizo|LEVELS|Co-Founder|2024||True|
Tommaso|Lucarelli|LEVELS|Co-Founder|2024||True|
Emanuele|Baldelli|LEVELS|Co-Founder|2024||True|
Filippo|Caliò|LEVELS|Co-Founder|2024||True|
CDP|Venture Capital|LexHero||2021||True|
Martina|Domenicali|Lexroom.ai|Co-Founder & CSO|2023||True|
Andrea|Lonza|Lexroom.ai|Co-Founder & CTO|2023||True|
Paolo|Fois|Lexroom.ai|Co-Founder & CEO|2023||True|
Riccardo|Tripodi|Liquinvex|Co-Founder & CEO|2022||True|
Francesco|Meli|Liquinvex|Co-Founder & COO|2022||True|
Cristian|Bocciarelli|lit|Co-Founder & CTO|2022||True|
Alessia|Poggi|lit|Co-Founder & CLO|2022||True|
Luca|Erculiani|lit|R&D Chief|2022||True|
Alessia|Lucentini|lit|Co-Founder & CEO|2022||True|
Alina|Docan|Localyte|Co-Founder|2024||True|
Matteo|Berti|Localyte|Co-Founder|2024||True|
Valerio|Lomanno|Localyte|Co-Founder|2024||True|
Gianmarco|Padovano|Lokit|Founder|2021||True|
Nicola|Simoncelli|Ludotechnic|Founder|2024||True|
Nicola|Alessi|Lumigo|Co-Founder|2025||True|
Lorenzo|Pediconi|Lumigo|Co-Founder|2025||True|
Matteo|Melina|Mangofit|CEO & Founder|2023||True|
Daniele|Calvo Pollino|Mapo Tapo|Founder|2019||True|
Antonio|Cambise|Mapo Tapo|Co-Founder & CPO|2019||True|
Luca|Rillosi|Mastranet AI|Co-Founder|2022||True|
Emanuele|Rota|Mastranet AI|Co-Founder|2022||True|
Michele|Pavone|Mastro HR|CCO & Co-founder|2025||True|
Marta|Della Valle|Mastro HR|CEO & Co-founder|2025||True|
Leopoldo|Angelini|Menumal|Co-Founder & CEO|2023||True|
Leonardo|Biagi|Menumal|Co-Founder & CTO|2023||True|
Giacomo|Salvanelli|MineCrime|CEO|2020||True|
Samuel|Piatanesi|MineCrime|CTO|2020||True|
Noemi|Pirazzoli|Miosessuologo|CEO|2021||True|
Gionatan|Cernusco|mkinf|CTO & Co-Founder|2024||True|
Veronica|Nigro|mkinf|CEO & Co-Founder|2024||True|
Francesco|Finazzi|MynDoor|CEO|2021||True|
Daniele|Brambilla|My Wine Sommelier|Co-Founder & COO|2025||True|
